label	tagged_in_context
not_propaganda	No, <BOS> he <EOS> will not be confirmed. 
not_propaganda	This declassification effort <BOS> won’t make things any worse than they are for President Trump. <EOS> 
flag_waving	"The Obama administration misled the <BOS> American people <EOS> and Congress because they were desperate to get a deal with Iran," said Sen. 
not_propaganda	“It looks like we’re capturing the demise of this dark vortex, <BOS> and <EOS> it’s different from what well-known studies led us to expect,” said Michael H. Wong of the University of California at Berkeley says. 
not_propaganda	<BOS> Location: Westerville, Ohio <EOS> 
loaded_language	Hitler <BOS> annihilated <EOS> 400,000 Germans who were handicapped or suffered from chronic diseases. 
not_propaganda	A federal judge on Monday ordered U.S. immigration officials to delay any efforts to deport 51 Indonesians living illegally in New Hampshire so the group can have time <BOS> to argue that changing conditions in that country would make it dangerous to return... Federal law gives authority over immigration matters to the executive <EOS> branch, not the courts. 
not_propaganda	<BOS> Kirstjen Nielsen (@SecNielsen) <EOS> November 19, 2018 
doubt	As noted above, at this point literally every piece of <BOS> so-called evidence <EOS> put forth by authorities and then regurgitated by the mainstream media cannot be trusted and should be considered as disinformation until proven otherwise. 
not_propaganda	Britain doesn't need more hate even just for a <BOS> few days." <EOS> 
name_calling,labeling	His account was suspended for violating Twitter’s rules relating to “<BOS> hateful conduct <EOS>.” It is "hateful conduct", apparently, to reference what Islamic texts themselves say. 
not_propaganda	Ironically, even in doing this he is <BOS> likely to fail to <EOS> satisfy Muslims, or anyone. 
appeal_to_fear_prejudice	A couple of seemingly unrelated events this past week <BOS> point to Iran’s positioning itself for more aggressive military actions that could place U.S. forces in harm’s way <EOS>. 
not_propaganda	During the term of the Assassination <BOS> Records Review Board in the 1990s, the <EOS> CIA decided to keep these particular records secret for another 25 years. 
repetition	Trump has expelled <BOS> more <EOS> Russian diplomats and sanctioned more Russian oligarchs than [Obama] has. 
not_propaganda	President Trump ordered that the relevant documents be released by the Office of the Director of National Intelligence (ODNI) and the Justice Department “[a]t the request of a number of committees of Congress, and for <BOS> reasons of transparency,” read a statement issued by White House <EOS> Press Secretary Sarah Huckabee Sanders. 
not_propaganda	The newspaper added that Manafort’s visit was <BOS> not <EOS> entered into the embassy’s log book and cited a source as saying Manafort left after 40 minutes. 
not_propaganda	“We are now doing a <BOS> recount, so <EOS> we want to make sure you let your vote be counted,” Dixon quoted from the voicemail. 
doubt	<BOS> But who authorized this strategic commitment <EOS>, of indefinite duration, in Syria, when near two decades in Afghanistan have failed to secure that nation against the return of al-Qaida and ISIS? 
causal_oversimplification	Outside of specialists and seekers, <BOS> the only reason why there is general interest in the Qur’an among non-Muslims is to seek an answer to the question of whether or not it justifies and encourages Islamic terrorism <EOS>. 
doubt	<BOS> We must ask ourselves why this hasn’t happened <EOS>. 
loaded_language	We’ve caught on to his <BOS> sneaky <EOS> synodal tactics. 
flag_waving	This is an outrage, but it is common nationwide: the Daily Caller News Foundation reports that Mountain Ridge Middle School in West Virginia is “instructing junior high students to write the Islamic profession of faith ostensibly to practice calligraphy.” Students are made to write out the Shahada, which states: “There is no god but Allah, and Muhammad is the messenger of Allah.”This is exactly what I warned about in my book, Stop the Islamization of <BOS> America <EOS>: A Practical Guide to the Resistance , in the chapter “The Mosqueing of the Public Schools.”In order to convert to Islam, one says the shahada. 
not_propaganda	This <BOS> is the point about the McCarrick scandal that even <EOS> religious commentators tend to overlook. 
not_propaganda	Kavanaugh denies the <BOS> accusations. <EOS> 
not_propaganda	The time limit of the Commission’s members was allowed to lapse without renewal and though it was not dissolved <BOS> formally the Commission has <EOS> ceased to function with no word of any plan to revive it. 
name_calling,labeling	Bob Mueller is totally conflicted, and his 17 Angry Democrats that are doing his dirty work are <BOS> a disgrace to USA <EOS>!” Trump wrote. 
not_propaganda	“Let me get this straight: this is [a] statement about [a] secret letter regarding a secret matter and an <BOS> unidentified person. <EOS> 
not_propaganda	Average age: <BOS> 65 <EOS> 
not_propaganda	Present problems: ageing of the <BOS> sisters and a lack of <EOS> vocations. 
not_propaganda	He stood up to challenge <BOS> the fact that the CIA was about to <EOS> hand over leadership to a person who had been in charge of torture. 
repetition	Hitler embodies one type of modern Western <BOS> annihilation <EOS>. 
not_propaganda	He was previously removed to Mexico in 2009 after he illegally entered the United States through Laredo, <BOS> Texas. <EOS> 
not_propaganda	<BOS> The economic fund [of the federation] is nourished by the free donations of the monasteries, by the donations of benefactors, and by revenues deriving from the alienation of the assets of suppressed monasteries, as established <EOS> by the present Instruction. 
repetition	Kritarch Saris thought she knew better and has been running a deliberate campaign to prevent the deportation of these Chinese <BOS> illegal aliens <EOS>. 
repetition	But now, the <BOS> sonic attacks <EOS> have progressed beyond Cuba. 
